Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
26/10/2010;15:55:00;0.280;0.000;247.210;1.200;0.000;1.000;0.000
26/10/2010;15:56:00;0.262;0.000;247.330;1.000;0.000;0.000;1.000
26/10/2010;15:57:00;0.280;0.000;247.550;1.200;0.000;0.000;1.000
26/10/2010;15:58:00;0.264;0.000;248.290;1.000;0.000;0.000;0.000
26/10/2010;15:59:00;0.286;0.000;248.860;1.200;0.000;0.000;1.000
26/10/2010;16:00:00;0.272;0.000;248.530;1.000;0.000;0.000;1.000
26/10/2010;16:01:00;0.288;0.000;247.950;1.200;0.000;1.000;0.000
26/10/2010;16:02:00;0.266;0.000;248.340;1.000;0.000;0.000;1.000
26/10/2010;16:03:00;0.282;0.000;248.590;1.200;0.000;0.000;1.000
26/10/2010;16:04:00;0.262;0.000;247.970;1.000;0.000;0.000;0.000
26/10/2010;16:05:00;0.280;0.000;247.510;1.200;0.000;0.000;1.000
26/10/2010;16:06:00;0.262;0.000;247.830;1.000;0.000;0.000;1.000
26/10/2010;16:07:00;0.280;0.000;247.930;1.200;0.000;0.000;0.000
26/10/2010;16:08:00;0.262;0.000;248.090;1.000;0.000;0.000;1.000
26/10/2010;16:09:00;0.280;0.000;248.010;1.200;0.000;1.000;1.000
26/10/2010;16:10:00;0.264;0.000;247.900;1.000;0.000;0.000;0.000
26/10/2010;16:11:00;0.278;0.000;248.010;1.200;0.000;0.000;1.000
26/10/2010;16:12:00;0.280;0.000;248.380;1.200;0.000;0.000;1.000
26/10/2010;16:13:00;0.268;0.000;249.340;1.000;0.000;0.000;1.000
26/10/2010;16:14:00;0.342;0.000;247.820;1.600;0.000;1.000;0.000
26/10/2010;16:15:00;0.378;0.108;246.800;1.600;0.000;0.000;1.000
26/10/2010;16:16:00;0.392;0.112;246.290;1.600;0.000;0.000;1.000
26/10/2010;16:17:00;0.424;0.156;246.140;2.000;0.000;0.000;0.000
26/10/2010;16:18:00;0.466;0.220;246.280;2.000;0.000;0.000;1.000
26/10/2010;16:19:00;0.448;0.218;246.860;2.000;0.000;0.000;1.000
26/10/2010;16:20:00;0.466;0.228;247.650;2.000;0.000;1.000;0.000
26/10/2010;16:21:00;0.446;0.226;248.400;2.000;0.000;0.000;1.000
26/10/2010;16:22:00;0.456;0.230;247.980;2.000;0.000;0.000;1.000
26/10/2010;16:23:00;0.440;0.224;248.070;2.000;0.000;0.000;0.000
26/10/2010;16:24:00;0.458;0.228;247.720;2.000;0.000;0.000;1.000
26/10/2010;16:25:00;0.372;0.124;246.770;1.600;0.000;0.000;1.000
26/10/2010;16:26:00;0.380;0.110;246.140;1.600;0.000;1.000;0.000
26/10/2010;16:27:00;0.276;0.000;247.210;1.200;0.000;0.000;1.000
26/10/2010;16:28:00;0.288;0.000;248.070;1.200;0.000;0.000;1.000
26/10/2010;16:29:00;0.270;0.000;248.870;1.000;0.000;0.000;0.000
26/10/2010;16:30:00;0.286;0.000;247.880;1.200;0.000;0.000;1.000
26/10/2010;16:31:00;0.268;0.000;247.830;1.000;0.000;0.000;1.000
26/10/2010;16:32:00;0.288;0.000;248.540;1.200;0.000;0.000;0.000
26/10/2010;16:33:00;0.270;0.000;248.620;1.000;0.000;0.000;1.000
26/10/2010;16:34:00;0.288;0.000;248.630;1.200;0.000;1.000;1.000
26/10/2010;16:35:00;0.268;0.000;248.580;1.000;0.000;0.000;1.000
26/10/2010;16:36:00;0.288;0.000;248.460;1.200;0.000;0.000;0.000
26/10/2010;16:37:00;0.268;0.000;248.310;1.000;0.000;0.000;1.000
26/10/2010;16:38:00;0.288;0.000;248.600;1.200;0.000;0.000;1.000
26/10/2010;16:39:00;0.270;0.000;249.140;1.000;0.000;0.000;0.000
26/10/2010;16:40:00;0.288;0.000;248.500;1.200;0.000;1.000;1.000
26/10/2010;16:41:00;0.276;0.000;248.670;1.200;0.000;0.000;1.000
26/10/2010;16:42:00;0.280;0.000;249.130;1.200;0.000;0.000;0.000
26/10/2010;16:43:00;0.290;0.000;249.690;1.200;0.000;0.000;1.000
26/10/2010;16:44:00;0.270;0.000;249.360;1.000;0.000;0.000;1.000
26/10/2010;16:45:00;0.288;0.000;249.400;1.200;0.000;1.000;0.000
26/10/2010;16:46:00;0.372;0.082;249.390;1.800;0.000;1.000;1.000
26/10/2010;16:47:00;0.478;0.258;249.580;2.200;0.000;1.000;1.000
26/10/2010;16:48:00;0.454;0.250;249.080;2.000;0.000;2.000;0.000
26/10/2010;16:49:00;0.470;0.258;249.450;2.200;0.000;1.000;1.000
26/10/2010;16:50:00;0.452;0.248;248.720;2.000;0.000;2.000;1.000
26/10/2010;16:51:00;0.468;0.244;246.980;2.000;0.000;1.000;1.000
26/10/2010;16:52:00;0.444;0.238;247.090;2.000;0.000;2.000;0.000
26/10/2010;16:53:00;0.464;0.250;248.160;2.000;0.000;2.000;1.000
26/10/2010;16:54:00;0.442;0.238;246.990;2.000;0.000;1.000;1.000
26/10/2010;16:55:00;0.514;0.296;247.030;2.400;0.000;2.000;0.000
26/10/2010;16:56:00;0.520;0.350;247.370;2.400;0.000;1.000;1.000
26/10/2010;16:57:00;0.536;0.348;246.290;2.600;0.000;2.000;1.000
26/10/2010;16:58:00;0.524;0.346;246.590;2.400;0.000;1.000;0.000
26/10/2010;16:59:00;0.492;0.278;246.430;2.200;0.000;2.000;1.000
26/10/2010;17:00:00;0.424;0.200;246.180;1.800;0.000;1.000;1.000
26/10/2010;17:01:00;0.442;0.208;246.670;2.000;0.000;2.000;0.000
26/10/2010;17:02:00;0.760;0.394;245.860;3.800;0.000;2.000;6.000
26/10/2010;17:03:00;0.966;0.454;246.280;4.400;0.000;1.000;10.000
26/10/2010;17:04:00;0.946;0.408;246.650;4.200;0.000;2.000;11.000
26/10/2010;17:05:00;0.988;0.406;246.310;4.400;0.000;1.000;11.000
26/10/2010;17:06:00;0.974;0.396;245.820;4.200;0.000;2.000;12.000
26/10/2010;17:07:00;1.000;0.404;246.110;4.400;0.000;1.000;11.000
26/10/2010;17:08:00;0.978;0.392;245.650;4.200;0.000;2.000;12.000
26/10/2010;17:09:00;0.996;0.400;245.890;4.400;0.000;1.000;11.000
26/10/2010;17:10:00;0.982;0.404;246.730;4.200;0.000;1.000;12.000
26/10/2010;17:11:00;1.000;0.410;246.860;4.400;0.000;2.000;11.000
26/10/2010;17:12:00;0.992;0.408;246.860;4.400;0.000;1.000;12.000
26/10/2010;17:13:00;0.994;0.406;246.780;4.400;0.000;2.000;11.000
26/10/2010;17:14:00;0.368;0.106;247.040;1.600;0.000;1.000;2.000
26/10/2010;17:15:00;0.342;0.100;248.420;1.400;0.000;2.000;1.000
26/10/2010;17:16:00;0.362;0.108;248.830;1.600;0.000;1.000;0.000
26/10/2010;17:17:00;0.336;0.104;249.620;1.400;0.000;1.000;1.000
26/10/2010;17:18:00;0.356;0.112;250.100;1.400;0.000;2.000;1.000
26/10/2010;17:19:00;0.446;0.230;247.990;2.000;0.000;1.000;0.000
26/10/2010;17:20:00;0.460;0.248;247.670;2.000;0.000;2.000;1.000
26/10/2010;17:21:00;0.438;0.240;247.430;2.000;0.000;1.000;1.000
26/10/2010;17:22:00;0.454;0.244;246.940;2.000;0.000;1.000;0.000
26/10/2010;17:23:00;0.432;0.234;246.270;2.000;0.000;2.000;1.000
26/10/2010;17:24:00;0.448;0.238;245.790;2.000;0.000;1.000;1.000
26/10/2010;17:25:00;0.428;0.232;245.940;2.000;0.000;1.000;0.000
26/10/2010;17:26:00;0.444;0.236;245.570;2.000;0.000;2.000;1.000
26/10/2010;17:27:00;0.426;0.230;245.560;2.000;0.000;1.000;1.000
26/10/2010;17:28:00;0.448;0.234;245.230;2.000;0.000;2.000;0.000
26/10/2010;17:29:00;0.428;0.230;245.440;2.000;0.000;1.000;1.000
26/10/2010;17:30:00;0.442;0.236;245.640;2.000;0.000;1.000;1.000
26/10/2010;17:31:00;0.416;0.220;244.800;1.800;0.000;1.000;0.000
26/10/2010;17:32:00;0.342;0.090;244.370;1.400;0.000;2.000;1.000
26/10/2010;17:33:00;0.394;0.162;245.470;1.800;0.000;1.000;1.000
26/10/2010;17:34:00;0.422;0.206;246.040;1.800;0.000;2.000;0.000
26/10/2010;17:35:00;0.404;0.200;245.930;1.800;0.000;1.000;1.000
26/10/2010;17:36:00;0.422;0.206;246.010;1.800;0.000;1.000;1.000
26/10/2010;17:37:00;0.404;0.200;246.000;1.800;0.000;2.000;0.000
26/10/2010;17:38:00;0.420;0.204;245.520;1.800;0.000;1.000;1.000
26/10/2010;17:39:00;0.408;0.212;248.550;1.800;0.000;1.000;1.000
26/10/2010;17:40:00;0.424;0.218;248.360;1.800;0.000;2.000;0.000
26/10/2010;17:41:00;0.352;0.132;249.510;1.400;0.000;1.000;1.000
26/10/2010;17:42:00;0.354;0.110;249.610;1.400;0.000;1.000;1.000
26/10/2010;17:43:00;0.348;0.108;249.320;1.400;0.000;2.000;1.000
26/10/2010;17:44:00;0.338;0.102;248.480;1.400;0.000;1.000;0.000
26/10/2010;17:45:00;0.352;0.108;248.700;1.400;0.000;1.000;1.000
26/10/2010;17:46:00;0.334;0.100;248.750;1.400;0.000;2.000;1.000
26/10/2010;17:47:00;0.352;0.108;249.010;1.400;0.000;1.000;0.000
26/10/2010;17:48:00;0.334;0.102;249.310;1.400;0.000;2.000;1.000
26/10/2010;17:49:00;0.354;0.108;249.200;1.400;0.000;1.000;1.000
26/10/2010;17:50:00;0.334;0.100;248.720;1.400;0.000;1.000;0.000
26/10/2010;17:51:00;0.430;0.194;249.170;2.000;0.000;2.000;1.000
26/10/2010;17:52:00;0.446;0.246;248.820;2.000;0.000;1.000;1.000
